"timestamp","device_id","max_co","min_co","max_humidity","min_humidity","max_lpg","min_lpg","max_smoke","min_smoke","max_temperature","min_temperature"
"2020-07-12 22:00:00","b8:27:eb:bf:9d:51","0.0059998095","0.0052880067","51.9","49.7","0.0087853408","0.0080183171","0.0236600120","0.0214602326","22.2","21.2"
"2020-07-12 23:00:00","00:0f:00:70:91:0a","0.0057678387","0.0051694619","74.6","73.7","0.0085246822","0.0078789252","0.0229179934","0.0210665339","23.6","18.7"
"2020-07-12 23:00:00","1c:bf:ce:15:ec:4d","0.0045673595","0.0043905728","60.0","57.2","0.0072119971","0.0070089590","0.0191632181","0.0185874932","27.1","26.8"
"2020-07-12 23:00:00","b8:27:eb:bf:9d:51","0.0061384390","0.0056621359","51.8","49.4","0.0089317227","0.0084247923","0.0240813524","0.0226242814","21.9","21.1"
"2020-07-13 00:00:00","00:0f:00:70:91:0a","0.0112147622","0.0051523551","74.7","72.7","0.0138125229","0.0078607273","0.0383643738","0.0210142232","19.5","18.8"
"2020-07-13 00:00:00","1c:bf:ce:15:ec:4d","0.0046342991","0.0044925351","60.2","56.6","0.0072883077","0.0071263341","0.0193798879","0.0189201788","27.0","26.3"
"2020-07-13 00:00:00","b8:27:eb:bf:9d:51","0.0056533371","0.0053523206","52.0","49.0","0.0084153304","0.0080887414","0.0225971351","0.0216616297","22.4","21.4"
"2020-07-13 01:00:00","00:0f:00:70:91:0a","0.0085585474","0.0070775779","74.7","72.7","0.0113593084","0.0099004832","0.0311327188","0.0268814114","20.0","18.8"
"2020-07-13 01:00:00","1c:bf:ce:15:ec:4d","0.0048163509","0.0045625881","61.0","58.3","0.0074942866","0.0072065465","0.0199655126","0.0191477480","26.3","26.0"
"2020-07-13 01:00:00","b8:27:eb:bf:9d:51","0.0053572468","0.0052844295","51.5","48.4","0.0080941309","0.0080143961","0.0216770447","0.0214490213","22.4","21.5"
"2020-07-13 02:00:00","00:0f:00:70:91:0a","0.0070504400","0.0061548179","74.5","73.1","0.0098730345","0.0089487650","0.0268017956","0.0241305356","19.4","18.9"
"2020-07-13 02:00:00","1c:bf:ce:15:ec:4d","0.0046090549","0.0045348326","59.5","58.7","0.0072595459","0.0071747977","0.0192982158","0.0190576580","26.2","25.8"
"2020-07-13 02:00:00","b8:27:eb:bf:9d:51","0.0052834155","0.0050879202","51.0","48.3","0.0080132839","0.0077976751","0.0214458416","0.0208300382","22.4","21.5"
"2020-07-13 03:00:00","00:0f:00:70:91:0a","0.0061582426","0.0052066997","74.9","73.0","0.0089524028","0.0079286904","0.0241409956","0.0212042249","19.7","19.0"
"2020-07-13 03:00:00","1c:bf:ce:15:ec:4d","0.0046080583","0.0044699600","59.7","59.0","0.0072583771","0.0071003991","0.0192949137","0.0188466425","25.8","25.3"
"2020-07-13 03:00:00","b8:27:eb:bf:9d:51","0.0050864409","0.0050160402","67.8","48.3","0.0077960315","0.0077178264","0.0208253501","0.0206022738","22.4","21.6"
"2020-07-13 04:00:00","00:0f:00:70:91:0a","0.0053028786","0.0048530187","75.8","72.9","0.0080345957","0.0075354976","0.0215067886","0.0200828204","19.8","19.0"
"2020-07-13 04:00:00","1c:bf:ce:15:ec:4d","0.0046680661","0.0044488015","60.1","59.4","0.0073266608","0.0070760796","0.0194888556","0.0187776931","25.4","25.1"
"2020-07-13 04:00:00","b8:27:eb:bf:9d:51","0.0050342352","0.0049498539","66.1","49.3","0.0077380681","0.0076440215","0.0206599971","0.0203918925","22.2","21.5"
"2020-07-13 05:00:00","00:0f:00:70:91:0a","0.0048715347","0.0045508992","76.1","73.9","0.0075563279","0.0071930622","0.0201421040","0.0191095426","19.6","19.3"
"2020-07-13 05:00:00","1c:bf:ce:15:ec:4d","0.0046758051","0.0044679018","60.1","58.8","0.0073354556","0.0070980343","0.0195138408","0.0188399376","25.1","24.7"
"2020-07-13 05:00:00","b8:27:eb:bf:9d:51","0.0051064126","0.0049439597","55.9","48.3","0.0078181619","0.0076374355","0.0208885041","0.0203731256","22.3","21.6"
"2020-07-13 06:00:00","00:0f:00:70:91:0a","0.0046028041","0.0041809839","76.0","73.2","0.0072523346","0.0067652571","0.0192777839","0.0178979844","19.7","19.3"
"2020-07-13 06:00:00","1c:bf:ce:15:ec:4d","0.0047194506","0.0044411784","60.0","59.6","0.0073849098","0.0070672953","0.0196544089","0.0187527995","24.7","24.2"
"2020-07-13 06:00:00","b8:27:eb:bf:9d:51","0.0051432820","0.0051017103","51.5","48.4","0.0078589545","0.0078129565","0.0210049462","0.0208736466","22.1","21.6"
"2020-07-13 07:00:00","00:0f:00:70:91:0a","0.0042166179","0.0039859951","76.1","70.1","0.0068066560","0.0065354714","0.0180151322","0.0172494013","19.6","19.3"
"2020-07-13 07:00:00","1c:bf:ce:15:ec:4d","0.0047430705","0.0044905066","60.0","58.5","0.0074115739","0.0071239991","0.0197302487","0.0189135604","24.4","24.1"
"2020-07-13 07:00:00","b8:27:eb:bf:9d:51","0.0051449581","0.0051148072","51.7","48.9","0.0078608020","0.0078274549","0.0210102233","0.0209150282","21.9","21.5"
"2020-07-13 08:00:00","00:0f:00:70:91:0a","0.0040414707","0.0038394200","76.1","72.4","0.0066009665","0.0063607397","0.0174342046","0.0167572221","20.0","19.4"
"2020-07-13 08:00:00","1c:bf:ce:15:ec:4d","0.0048252466","0.0045443448","59.8","58.7","0.0075038248","0.0071856697","0.0199928964","0.0190885127","24.1","23.9"
"2020-07-13 08:00:00","b8:27:eb:bf:9d:51","0.0051379499","0.0051088421","51.7","49.1","0.0078530655","0.0078208521","0.0209881308","0.0208961820","21.9","21.4"
"2020-07-13 09:00:00","00:0f:00:70:91:0a","0.0039255710","0.0038162057","76.2","73.0","0.0064637136","0.0063328180","0.0170471385","0.0166786980","19.9","19.3"
"2020-07-13 09:00:00","1c:bf:ce:15:ec:4d","0.0047610267","0.0045170064","59.7","59.4","0.0074318837","0.0071543764","0.0197879955","0.0189997259","23.9","23.7"
"2020-07-13 09:00:00","b8:27:eb:bf:9d:51","0.0051359078","0.0050990948","52.0","49.2","0.0078508025","0.0078100570","0.0209816729","0.0208653729","21.8","21.3"
"2020-07-13 10:00:00","00:0f:00:70:91:0a","0.0038448566","0.0037405666","76.3","53.8","0.0063672551","0.0062418869","0.0167755571","0.0164229500","19.8","19.5"
"2020-07-13 10:00:00","1c:bf:ce:15:ec:4d","0.0046715017","0.0044580918","60.1","59.1","0.0073283605","0.0070867570","0.0194947922","0.0188079656","23.7","23.4"
"2020-07-13 10:00:00","b8:27:eb:bf:9d:51","0.0051221385","0.0050939638","52.2","49.4","0.0078355751","0.0078043721","0.0209382029","0.0208491496","21.7","21.3"
"2020-07-13 11:00:00","00:0f:00:70:91:0a","0.0038549763","0.0037091307","76.3","54.8","0.0063793401","0.0062038173","0.0168095872","0.0163160172","19.7","19.4"
"2020-07-13 11:00:00","1c:bf:ce:15:ec:4d","0.0046576735","0.0043955667","60.0","58.8","0.0073148671","0.0070146931","0.0194553423","0.0186037532","23.6","23.5"
"2020-07-13 11:00:00","b8:27:eb:bf:9d:51","0.0051174590","0.0050854813","52.6","50.2","0.0078303946","0.0077949718","0.0209234166","0.0208223242","21.7","21.3"
"2020-07-13 12:00:00","00:0f:00:70:91:0a","0.0038936095","0.0037149120","76.2","54.6","0.0064255804","0.0062108563","0.0169397421","0.0163357700","19.7","19.4"
"2020-07-13 12:00:00","1c:bf:ce:15:ec:4d","0.0045526081","0.0043429763","65.7","59.3","0.0071950643","0.0069539119","0.0191151998","0.0184315984","23.7","23.3"
"2020-07-13 12:00:00","b8:27:eb:bf:9d:51","0.0051150185","0.0050804854","53.2","49.7","0.0078276916","0.0077894314","0.0209157023","0.0208065158","21.9","21.3"
"2020-07-13 13:00:00","00:0f:00:70:91:0a","0.0038943447","0.0037508261","76.1","54.7","0.0064263016","0.0062542666","0.0169418516","0.0164577454","19.8","19.3"
"2020-07-13 13:00:00","1c:bf:ce:15:ec:4d","0.0046117023","0.0043429582","65.8","62.3","0.0072618417","0.0069538722","0.0193050982","0.0184314954","23.5","23.0"
"2020-07-13 13:00:00","b8:27:eb:bf:9d:51","0.0051277059","0.0050769293","52.8","49.5","0.0078417330","0.0077854866","0.0209557813","0.0207952604","22.1","21.4"
"2020-07-13 14:00:00","00:0f:00:70:91:0a","0.0039309209","0.0038681635","75.4","72.6","0.0064700409","0.0063951244","0.0170649862","0.0168540159","19.6","19.2"
"2020-07-13 14:00:00","1c:bf:ce:15:ec:4d","0.0045955782","0.0042934078","62.3","61.6","0.0072441504","0.0068964005","0.0192545195","0.0182688176","23.7","23.5"
"2020-07-13 14:00:00","b8:27:eb:bf:9d:51","0.0051659502","0.0051129994","52.4","49.2","0.0078839984","0.0078254593","0.0210764524","0.0209093294","22.2","21.4"
"2020-07-13 15:00:00","00:0f:00:70:91:0a","0.0043156356","0.0039107844","75.4","72.1","0.0069215967","0.0064460942","0.0183404326","0.0169975048","19.6","19.1"
"2020-07-13 15:00:00","1c:bf:ce:15:ec:4d","0.0043279324","0.0042131486","62.3","61.4","0.0069364632","0.0068028958","0.0183822084","0.0180043553","24.2","23.7"
"2020-07-13 15:00:00","b8:27:eb:bf:9d:51","0.0052026150","0.0051540485","52.5","49.0","0.0079244411","0.0078708565","0.0211919585","0.0210389256","22.2","21.4"
"2020-07-13 16:00:00","00:0f:00:70:91:0a","0.0049107314","0.0042670782","76.0","73.7","0.0076002487","0.0068654414","0.0202671924","0.0181813980","19.6","19.1"
"2020-07-13 16:00:00","1c:bf:ce:15:ec:4d","0.0042451450","0.0041820942","62.7","62.3","0.0068402377","0.0067665891","0.0181099376","0.0179017321","24.7","24.2"
"2020-07-13 16:00:00","b8:27:eb:bf:9d:51","0.0052231778","0.0051814914","52.6","49.5","0.0079470806","0.0079011502","0.0212566394","0.0211254340","22.3","21.5"
