"timestamp","device_id","mean_co","median_co","variance_co","mean_humidity","median_humidity","variance_humidity","mean_lpg","median_lpg","variance_lpg","mean_smoke","median_smoke","variance_smoke","mean_temperature","median_temperature","variance_temperature","co_change_last_hour","humidity_change_last_hour","lpg_change_last_hour","smoke_change_last_hour","temperature_change_last_hour","co_to_humidity_ratio","smoke_to_temperature_ratio","lpg_to_co_ratio","variance_to_mean_co","variance_to_mean_humidity","variance_to_mean_lpg","variance_to_mean_smoke","variance_to_mean_temperature","high_low_percentage_co","high_low_percentage_humidity","high_low_percentage_lpg","high_low_percentage_smoke","high_low_percentage_temperature"
"2020-07-12 11:00:00","b8:27:eb:bf:9d:51","0.0048628050","0.0048546883","0.0000000010","52.5","52.6","0.59","0.0075465021","0.0075374226","0.0000000013","0.0201141419","0.0200882753","0.0000000105","21.4","21.4","0.02","-0.0000056535","0.7","-0.0000063749","-0.0000181357","0.0","0.0000925573","0.0009414529","1.5518825300","0.0000002113","0.0112917821","0.0000001715","0.0000005215","0.0008698687","33.33","60.00","33.33","33.33","61.67"
"2020-07-12 12:00:00","00:0f:00:70:91:0a","0.0030357073","0.0030363986","0.0000000004","75.2","75.3","0.28","0.0053668166","0.0053677339","0.0000000007","0.0139759026","0.0139784377","0.0000000055","19.4","19.4","0.01","-0.0000923283","0.0","-0.0001078694","-0.0003049478","-0.1","0.0000403515","0.0007197890","1.7678966257","0.0000001445","0.0036654762","0.0000001336","0.0000003970","0.0007536190","55.00","56.67","55.00","55.00","36.67"
"2020-07-12 12:00:00","1c:bf:ce:15:ec:4d","0.0039147209","0.0039071349","0.0000000006","72.9","72.9","0.12","0.0064507558","0.0064417436","0.0000000009","0.0170106510","0.0169852501","0.0000000072","24.6","24.6","0.01","-0.0000523057","-0.5","-0.0000621569","-0.0001751805","0.3","0.0000537208","0.0006911621","1.6478200921","0.0000001634","0.0017076301","0.0000001399","0.0000004214","0.0006072863","33.33","65.00","33.33","33.33","36.67"
"2020-07-12 12:00:00","b8:27:eb:bf:9d:51","0.0048259434","0.0048209161","0.0000000010","52.7","53.2","0.96","0.0075050756","0.0074994548","0.0000000013","0.0199962195","0.0199802049","0.0000000104","21.4","21.5","0.03","-0.0000368616","0.2","-0.0000414265","-0.0001179224","0.1","0.0000915594","0.0009330947","1.5551520214","0.0000002110","0.0181445702","0.0000001714","0.0000005213","0.0012227433","46.67","68.33","46.67","46.67","60.00"
"2020-07-12 13:00:00","00:0f:00:70:91:0a","0.0030317749","0.0030185926","0.0000000014","73.7","73.7","0.26","0.0053612592","0.0053449319","0.0000000021","0.0139606963","0.0139150247","0.0000000165","19.5","19.5","0.02","-0.0000039323","-1.5","-0.0000055574","-0.0000152063","0.1","0.0000411153","0.0007164230","1.7683565940","0.0000004659","0.0035264029","0.0000003900","0.0000011793","0.0007735262","41.67","45.00","41.67","41.67","65.00"
"2020-07-12 13:00:00","1c:bf:ce:15:ec:4d","0.0039600171","0.0039474953","0.0000000021","70.6","70.8","0.71","0.0065046050","0.0064898135","0.0000000030","0.0171624064","0.0171206739","0.0000000236","25.1","25.1","0.03","0.0000452962","-2.3","0.0000538492","0.0001517554","0.5","0.0000560803","0.0006842155","1.6425699342","0.0000005336","0.0100161939","0.0000004569","0.0000013764","0.0010428515","28.33","70.00","28.33","28.33","66.67"
"2020-07-12 13:00:00","b8:27:eb:bf:9d:51","0.0048215628","0.0048217922","0.0000000001","53.2","53.5","1.93","0.0075001762","0.0075004402","0.0000000002","0.0199822611","0.0199830095","0.0000000013","21.6","21.7","0.06","-0.0000043806","0.5","-0.0000048994","-0.0000139584","0.2","0.0000906366","0.0009248192","1.5555488054","0.0000000264","0.0362515811","0.0000000215","0.0000000654","0.0025865631","51.67","63.33","51.67","51.67","51.67"
"2020-07-12 14:00:00","00:0f:00:70:91:0a","0.0030474163","0.0030457142","0.0000000004","73.6","73.6","0.32","0.0053817860","0.0053796403","0.0000000006","0.0140175454","0.0140115612","0.0000000048","19.3","19.3","0.01","0.0000156414","-0.1","0.0000205268","0.0000568491","-0.2","0.0000413779","0.0007262977","1.7660160195","0.0000001264","0.0042920030","0.0000001163","0.0000003458","0.0004039694","40.00","46.67","40.00","40.00","71.67"
"2020-07-12 14:00:00","1c:bf:ce:15:ec:4d","0.0040339537","0.0040252566","0.0000000036","69.6","69.7","0.12","0.0065921826","0.0065820438","0.0000000050","0.0174093740","0.0173807009","0.0000000394","25.6","25.7","0.03","0.0000739366","-1.0","0.0000875776","0.0002469676","0.6","0.0000579217","0.0006790810","1.6341740886","0.0000008830","0.0017007560","0.0000007511","0.0000022656","0.0010441436","45.00","65.00","45.00","45.00","63.33"
"2020-07-12 14:00:00","b8:27:eb:bf:9d:51","0.0048380033","0.0048336988","0.0000000003","52.2","52.8","0.98","0.0075186623","0.0075138352","0.0000000004","0.0200348780","0.0200211320","0.0000000034","21.7","21.8","0.08","0.0000164406","-1.0","0.0000184862","0.0000526168","0.1","0.0000927176","0.0009221331","1.5540837456","0.0000000685","0.0187473608","0.0000000556","0.0000001690","0.0036332243","25.00","60.00","25.00","25.00","50.00"
"2020-07-12 15:00:00","00:0f:00:70:91:0a","0.0033068379","0.0032859937","0.0000000132","74.2","74.2","0.14","0.0057086623","0.0056832742","0.0000000205","0.0149292216","0.0148579799","0.0000001599","19.2","19.2","0.01","0.0002594216","0.6","0.0003268763","0.0009116762","-0.1","0.0000445445","0.0007775636","1.7263205783","0.0000039920","0.0019131058","0.0000035870","0.0000107138","0.0004590395","45.00","45.00","45.00","45.00","28.33"
"2020-07-12 15:00:00","1c:bf:ce:15:ec:4d","0.0041915983","0.0041821579","0.0000000029","66.4","66.1","2.21","0.0067775616","0.0067666433","0.0000000039","0.0179328166","0.0179018955","0.0000000315","26.0","26.1","0.03","0.0001576446","-3.3","0.0001853789","0.0005234426","0.4","0.0000631566","0.0006887524","1.6169396762","0.0000006885","0.0332376793","0.0000005814","0.0000017558","0.0010931997","38.33","30.00","38.33","38.33","60.00"
